BER,OSNR,InputPower
0.002572999,27.0,-5.7
0.002574773,27.4,-5.71
0.002670097,27.4,-5.7
0.002523798,26.6,-5.86
0.002844502,27.4,-5.86
0.002752713,27.4,-5.86
0.003146902,26.6,-6.16
0.002872889,26.6,-6.16
0.003953757,25.5,-6.55
0.003934073,25.2,-6.55
0.00412482,26.3,-6.51
0.003970479,25.2,-6.51
0.003958419,26.6,-6.55
0.003888904,25.5,-6.54
0.003993096,25.5,-6.51
0.003674242,25.9,-6.55
0.003736344,25.2,-6.55
0.004590384,24.8,-7.0
0.005010612,25.2,-7.0
0.004605189,24.5,-6.99
0.004859593,24.5,-6.99
0.004857486,25.2,-7.04
0.004539,25.5,-6.99
0.004829573,24.8,-6.99
0.004811756,24.8,-6.99
0.005009402,24.5,-6.99
0.004925119,24.8,-6.99
0.004923164,25.2,-6.99
0.004937228,24.8,-6.99
0.004547441,24.8,-6.99
0.004661981,24.5,-7.0
0.004903756,25.2,-6.91
0.004877943,24.5,-6.99
0.004804196,24.5,-7.03
0.004899546,24.2,-7.0
0.004994896,24.5,-7.03
0.00798616,22.9,-6.87
0.005483899,24.8,-6.91
0.005251835,24.5,-7.03
0.004617824,24.8,-6.99
0.005329071,24.5,-7.24
0.005566668,24.8,-7.24
0.00524501,24.2,-7.2
0.005642638,24.2,-7.24
0.005508571,24.2,-7.29
0.00557306,24.5,-7.25
0.006358363,23.8,-7.55
0.006027041,24.2,-7.56
0.006253608,23.5,-7.54
0.006262846,23.8,-7.5
0.005922793,24.2,-7.5
0.007177581,23.2,-7.82
0.007207693,23.5,-7.67
0.006980553,23.2,-7.82
0.007192816,22.6,-7.84
0.008702849,22.3,-8.16
0.008780568,22.3,-8.21
0.009453967,22.1,-8.33
0.0096878,21.8,-8.44
0.001832891,29.6,-5.17
0.001845456,28.7,-5.2
0.001868299,29.6,-5.19
0.002448478,29.1,-5.57
0.00222682,28.7,-5.56
0.002449611,28.3,-5.57
0.002352786,28.7,-5.57
0.002457907,27.4,-5.45
0.002103111,29.1,-5.58
0.002403888,27.8,-5.57
0.002297842,27.4,-5.53
0.002996346,26.6,-6.16
0.002858096,27.0,-6.21
0.00320105,26.3,-6.16
0.003231351,27.0,-6.09
0.00317775,25.9,-6.16
0.002897987,26.6,-6.21
0.003041727,27.8,-6.2
0.00315378,27.4,-6.13
0.003984117,26.6,-6.46
0.003591496,25.9,-6.54
0.004848527,24.5,-6.94
0.005467648,24.2,-7.28
0.00562369,24.5,-7.25
0.006277205,24.2,-7.5
0.00594432,23.5,-7.51
